---,HitType,DamageMultiplier,PoiseDamageMultiplier,StaminaCostMultiplier
Sword_A_Combo1,Normal,1.0,0.833,1.0
Sword_A_Combo2,Normal,1.07,0.833,1.0
Sword_A_Combo3,Normal,1.14,0.933,1.0
Sword_A_Combo4,Normal,1.28,1.0,1.0
Sword_A_Heavy,Heavy,2.28,2.0,2.0
Sword_A_HeavyMax,Heavy,3.14,2.667,2.0
Sword_B_Combo1,Normal,1.0,0.833,1.0
Sword_B_Combo2,Normal,1.07,0.833,1.0
Sword_B_Combo3,Normal,1.14,0.933,1.0
Sword_B_Combo4,Normal,1.28,1.0,1.0
Sword_B_Heavy,Heavy,2.28,2.0,2.0
Sword_B_HeavyMax,Heavy,3.14,2.667,2.0
